Name,Birth Country,Birth Decade,Birth Year,Gender,Latitude,Longitude,Tate URL
"Forbes, Elizabeth",Canada,1/1/1850,1/1/1859,Female,45.4215,-75.6972,http://www.tate.org.uk/art/artists/elizabeth-forbes-189
"Lewis, Wyndham",Canada,1/1/1880,1/1/1882,Male,45.8167,-64.2167,http://www.tate.org.uk/art/artists/wyndham-lewis-1502
"Kupka, Frantisek",Ceská Republika,1/1/1870,1/1/1871,Male,50.2674,16.1148,http://www.tate.org.uk/art/artists/frantisek-kupka-1449
"Drtikol, František",Ceská Republika,1/1/1880,1/1/1883,Male,49.6854,13.9989,http://www.tate.org.uk/art/artists/frantisek-drtikol-8089
"Gutfreund, Oto",Ceská Republika,1/1/1880,1/1/1889,Male,50.4149,15.8374,http://www.tate.org.uk/art/artists/oto-gutfreund-1232
"Guevara, Alvaro",Chile,1/1/1890,1/1/1894,Male,-33.0456,-71.6204,http://www.tate.org.uk/art/artists/alvaro-guevara-1226
Me_trovic Ivan,Croatia,1/1/1880,1/1/1883,Male,45.1,15.2,http://www.tate.org.uk/art/artists/ivan-mestrovic-1625
"Krsinic, Frano",Croatia,1/1/1890,1/1/1897,Male,42.9297,16.8886,http://www.tate.org.uk/art/artists/frano-krsinic-1442
"Hammershoi, Vilhelm",Denmark,1/1/1860,1/1/1864,Male,55.6761,12.5683,http://www.tate.org.uk/art/artists/vilhelm-hammershoi-1245
"Dall, Nicholas Thomas",Denmark,1/1/1740,1/1/1748,Male,56.2639,9.50178,http://www.tate.org.uk/art/artists/nicholas-thomas-dall-131
"Holbein, Hans, the Younger",Deutschland,1/1/1490,1/1/1497,Male,48.3705,10.8978,http://www.tate.org.uk/art/artists/hans-holbein-the-younger-266
"Rubens, Peter Paul",Deutschland,1/1/1570,1/1/1577,Male,50.8838,8.02096,http://www.tate.org.uk/art/artists/sir-peter-paul-rubens-2654
"Cleyn, Francis",Deutschland,1/1/1580,1/1/1582,Male,54.0924,12.0991,http://www.tate.org.uk/art/artists/francis-cleyn-2261
"Fuller, Isaac",Deutschland,1/1/1600,1/1/1606,Male,54.0865,13.3923,http://www.tate.org.uk/art/artists/isaac-fuller-196
"Lely, Sir Peter",Deutschland,1/1/1610,1/1/1618,Male,51.5711,8.10575,http://www.tate.org.uk/art/artists/sir-peter-lely-343
"Kneller, Sir Godfrey",Deutschland,1/1/1640,1/1/1646,Male,53.8655,10.6866,http://www.tate.org.uk/art/artists/sir-godfrey-kneller-310
"Closterman, John",Deutschland,1/1/1660,1/1/1660,Male,52.2799,8.04718,http://www.tate.org.uk/art/artists/john-closterman-8659
"Denner, Balthasar",Deutschland,1/1/1680,1/1/1685,Male,53.55,9.93333,http://www.tate.org.uk/art/artists/balthasar-denner-2647
"Mercier, Philip",Deutschland,1/1/1680,1/1/1689,Male,52.52,13.405,http://www.tate.org.uk/art/artists/philip-mercier-377
"Zoffany, Johan",Deutschland,1/1/1730,1/1/1733,Male,50.1109,8.68213,http://www.tate.org.uk/art/artists/johan-zoffany-620
"Hackert, Jacob Philippe",Deutschland,1/1/1730,1/1/1737,Male,53.3173,13.8633,http://www.tate.org.uk/art/artists/jacob-philippe-hackert-2500
"Dunker, Balthazar Anton",Deutschland,1/1/1740,1/1/1746,Male,54.3108,12.4997,http://www.tate.org.uk/art/artists/balthazar-anton-dunker-2619
"Laporte, George Henry",Deutschland,1/1/1790,1/1/1799,Male,52.3759,9.73201,http://www.tate.org.uk/art/artists/george-henry-laporte-327
"Liebermann, Max",Deutschland,1/1/1840,1/1/1847,Male,52.52,13.405,http://www.tate.org.uk/art/artists/max-liebermann-1509
"Von Herkomer, Sir Hubert",Deutschland,1/1/1840,1/1/1849,Male,47.996,10.7778,http://www.tate.org.uk/art/artists/sir-hubert-von-herkomer-571
"Sickert, Walter Richard",Deutschland,1/1/1860,1/1/1860,Male,48.1351,11.582,http://www.tate.org.uk/art/artists/walter-richard-sickert-1941
"Sickert, Bernard",Deutschland,1/1/1860,1/1/1862,Male,48.1351,11.582,http://www.tate.org.uk/art/artists/bernard-sickert-1940
"Nolde, Emil",Deutschland,1/1/1860,1/1/1867,Male,54.2194,9.69612,http://www.tate.org.uk/art/artists/emil-nolde-1710
"Barlach, Ernst",Deutschland,1/1/1870,1/1/1870,Male,53.5824,9.71375,http://www.tate.org.uk/art/artists/ernst-barlach-695
"Sander, August",Deutschland,1/1/1870,1/1/1876,Male,50.7782,7.95195,http://www.tate.org.uk/art/artists/august-sander-5319
"Hofmann, Hans",Deutschland,1/1/1880,1/1/1880,Male,51.1977,14.6605,http://www.tate.org.uk/art/artists/hans-hofmann-1298
"Kirchner, Ernst Ludwig",Deutschland,1/1/1880,1/1/1880,Male,49.9807,9.13556,http://www.tate.org.uk/art/artists/ernst-ludwig-kirchner-1414
"Lehmbruck, Wilhelm",Deutschland,1/1/1880,1/1/1881,Male,51.4667,6.76667,http://www.tate.org.uk/art/artists/wilhelm-lehmbruck-1490
"Beckmann, Max",Deutschland,1/1/1880,1/1/1884,Male,51.3397,12.3731,http://www.tate.org.uk/art/artists/max-beckmann-720
"Schmidt-Rottluff, Karl",Deutschland,1/1/1880,1/1/1884,Male,50.8278,12.9214,http://www.tate.org.uk/art/artists/karl-schmidt-rottluff-1904
"Arp, Jean",Deutschland,1/1/1880,1/1/1886,Male,53.5119,13.7455,http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
"Schwitters, Kurt",Deutschland,1/1/1880,1/1/1887,Male,52.3759,9.73201,http://www.tate.org.uk/art/artists/kurt-schwitters-1912
"Albers, Josef",Deutschland,1/1/1880,1/1/1888,Male,51.5291,6.94469,http://www.tate.org.uk/art/artists/josef-albers-636
"Baumeister, Willi",Deutschland,1/1/1880,1/1/1889,Male,48.7758,9.18293,http://www.tate.org.uk/art/artists/willi-baumeister-705
"Buchheister, Carl",Deutschland,1/1/1890,1/1/1890,Male,52.3759,9.73201,http://www.tate.org.uk/art/artists/carl-buchheister-2276
"Roh, Franz",Deutschland,1/1/1890,1/1/1890,Male,51.026,11.5155,http://www.tate.org.uk/art/artists/franz-roh-10609
"Ernst, Max",Deutschland,1/1/1890,1/1/1891,Male,50.8268,6.89879,http://www.tate.org.uk/art/artists/max-ernst-1065
"Fraenkel, Elsa",Deutschland,1/1/1890,1/1/1892,Female,49.6861,8.61873,http://www.tate.org.uk/art/artists/elsa-fraenkel-1109
"Biermann, Aenne",Deutschland,1/1/1890,1/1/1893,Female,51.68,6.15655,http://www.tate.org.uk/art/artists/aenne-biermann-15999
"Bissier, Julius",Deutschland,1/1/1890,1/1/1893,Male,47.999,7.8421,http://www.tate.org.uk/art/artists/julius-bissier-756
"Grosz, George",Deutschland,1/1/1890,1/1/1893,Male,52.52,13.405,http://www.tate.org.uk/art/artists/george-grosz-1223
"Schad, Christian",Deutschland,1/1/1890,1/1/1894,Male,47.79,11.8333,http://www.tate.org.uk/art/artists/christian-schad-2331
"Goldschmidt, Hilde",Deutschland,1/1/1890,1/1/1897,Female,51.3397,12.3731,http://www.tate.org.uk/art/artists/hilde-goldschmidt-1185
"Renger-Patzsch, Albert",Deutschland,1/1/1890,1/1/1897,Male,49.7913,9.95335,http://www.tate.org.uk/art/artists/albert-renger-patzsch-2709
"Albers, Anni",Deutschland,1/1/1890,1/1/1899,Female,52.52,13.405,http://www.tate.org.uk/art/artists/anni-albers-3067
"Vordemberge-Gildewart, Friedrich",Deutschland,1/1/1890,1/1/1899,Male,52.2799,8.04718,http://www.tate.org.uk/art/artists/friedrich-vordemberge-gildewart-2111
"De Chirico, Giorgio",Ellás,1/1/1880,1/1/1888,Male,39.3426,22.882,http://www.tate.org.uk/art/artists/giorgio-de-chirico-902
"Picasso, Pablo",España,1/1/1880,1/1/1881,Male,36.7213,-4.42127,http://www.tate.org.uk/art/artists/pablo-picasso-1767
